IP ADDR            PORT                APPLICATION                                 CLASS  DPI/AppMap  IDLE TIME MS
10.71.114.60      38504                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        526596
10.71.114.72        443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI          8473
10.20.36.194      57399                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        470889
104.81.60.123       443               APP_LINKEDIN           APP_CLASS_SOCIAL_NETWORKING         DPI        203340
51.104.15.253       443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI         28336
192.168.100.62     7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        302011
40.119.148.38       123                    APP_NTP             APP_CLASS_NETWORK_SERVICE         APM        138304
10.24.112.19      58418                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        363285
10.230.134.19       389                   APP_LDAP              APP_CLASS_AUTHENTICATION         DPI        374593
10.71.114.60      45779                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         13331
50.16.248.182       443              APP_GRAMMARLY                         APP_CLASS_WEB         DPI        260056
10.71.113.247         0                   APP_ICMP             APP_CLASS_NETWORK_SERVICE         DPI         91198
13.107.43.14         80               APP_LINKEDIN           APP_CLASS_SOCIAL_NETWORKING         DPI        403265
10.71.50.11         443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        324113
10.71.100.11      54316                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        306946
147.161.249.80     7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI         32386
18.66.188.214       443             APP_AMAZON_AWS              APP_CLASS_INFRASTRUCTURE         DPI        204774
104.22.71.197       443             APP_CLOUDFLARE              APP_CLASS_INFRASTRUCTURE         DPI        437393
10.10.1.5           389                   APP_LDAP              APP_CLASS_AUTHENTICATION         DPI          6876
10.71.114.60       3084                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        440483
20.54.25.4          443    APP_WINDOWS_MARKETPLACE                         APP_CLASS_WEB         DPI        152351
10.20.36.194      57274                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        516542
10.71.113.250     63276                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        180403
17.248.172.172      443                 APP_ICLOUD          APP_CLASS_STORAGE_AND_BACKUP         DPI        163578
10.90.8.55          389                   APP_LDAP              APP_CLASS_AUTHENTICATION         APM         63710
192.124.249.22       80                   APP_OCSP        APP_CLASS_BUSINESS_APPLICATION         DPI        122121
52.21.173.142       443                  APP_CISCO                         APP_CLASS_WEB         DPI        268008
10.71.112.31       5508                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI           675
52.109.16.2         443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        225157
10.24.112.19      53874                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        306057
52.114.133.17       443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI         26665
10.29.0.5         57605                   APP_NBNS             APP_CLASS_NETWORK_SERVICE         DPI        373060
192.168.100.2      7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        382893
10.20.21.205      51935                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        371732
10.71.114.60      52983                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        456530
10.71.112.203     49684                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        232987
10.71.114.119     52465                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        341424
52.109.88.40        443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        264116
40.74.72.251        443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI        533001
10.71.114.60      43282                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        198239
165.225.192.38      443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI         50480
52.114.74.216       443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI        321749
10.71.114.60       2125                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        294479
192.168.5.100      7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        364675
10.71.114.60      30096                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        534790
148.139.7.68        443            APP_SERVICE_NOW                         APP_CLASS_WEB         DPI          7676
10.20.21.205      51837                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        594083
40.99.204.2         443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        110909
104.75.174.50       443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        381447
10.72.112.13       8037                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         46167
44.236.13.251       443                 APP_AMAZON                         APP_CLASS_WEB         DPI        263022
10.71.113.250         0                   APP_ICMP             APP_CLASS_NETWORK_SERVICE         DPI         72330
20.190.159.22       443              APP_OFFICE365      APP_CLASS_BUSINESS_COLLABORATION         APM        211752
10.20.36.194      57451                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        426465
142.251.36.33       443             APP_GOOGLE_GEN                         APP_CLASS_WEB         DPI         60664
52.109.28.107       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        419012
10.71.114.60      39268                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        231904
18.210.138.89       443                 APP_AMAZON                         APP_CLASS_WEB         DPI        255664
13.107.64.2           0                   APP_ICMP             APP_CLASS_NETWORK_SERVICE         DPI        489895
10.71.112.84        135                APP_MS_DFSR             APP_CLASS_NETWORK_SERVICE         DPI        165014
20.82.217.86        443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        136622
10.20.34.109      53565                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        542232
10.71.114.60      34263                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        230227
52.97.144.178       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI         95539
10.71.114.60      43341                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        228495
20.189.173.1        443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        423865
10.15.2.10        53465                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        456161
10.71.114.60       8397                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        217413
40.101.18.242       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        349588
10.20.33.13       51438                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        282312
10.71.114.60      33598                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         61816
10.71.114.121        80                   APP_SCCM                  APP_CLASS_MANAGEMENT         DPI        236556
23.7.107.133        443               APP_LASTPASS                         APP_CLASS_WEB         DPI        435607
194.0.5.123         123                    APP_NTP             APP_CLASS_NETWORK_SERVICE         APM         46480
10.71.114.60      49167                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         58752
10.20.21.205      52378                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI         54849
10.20.36.194      57216                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        561280
100.21.10.50       9930                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI          2995
10.71.114.60      30146                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         53488
145.14.152.92      5823                    APP_FTP                APP_CLASS_FILE_SHARING         DPI        509138
52.109.89.14        443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI          8870
10.71.113.250     63887                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        421744
40.101.12.82        443              APP_OFFICE365      APP_CLASS_BUSINESS_COLLABORATION         APM        248011
10.71.114.60       3031                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        180687
10.71.54.15        9990                 APP_SPLUNK                         APP_CLASS_WEB         DPI         32400
20.79.117.160       443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI         33628
10.71.114.60      10874                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        284650
10.72.112.13       5508                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI          5421
10.71.114.60       8825                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        342712
10.20.21.205      51902                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        412599
10.71.114.60       1444                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        433547
10.71.114.60      41461                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        534482
142.250.179.194     443             APP_GOOGLE_ADS                         APP_CLASS_WEB         DPI        437439
40.101.61.130       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        165223
165.225.29.187      443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI          1131
10.71.114.60      39031                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        564437
10.24.112.19        389                   APP_LDAP              APP_CLASS_AUTHENTICATION         APM        307900
10.71.114.60       4771                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        219934
10.71.112.203       389                   APP_LDAP              APP_CLASS_AUTHENTICATION         DPI        233421
192.168.0.199      7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI         63413
8.251.59.254         80         APP_WINDOWS_UPDATE                         APP_CLASS_WEB         DPI        354614
10.71.30.11          80                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        241796
10.71.114.60      45836                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        458018
