SRC_IP                  DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP                                                   APP    TCP_STATE      RULE  BYTES_SENT  BYTES_RCVD  DURATION_SECS
10.239.30.152        10.16.5.12     58577         53     17     0                                                   dns          N/A  AllowAny          67         144              0
10.239.31.178      142.251.36.3     57400        443     17     0                                                   udp          N/A  AllowAny        1673        2366              0
10.71.114.60      10.239.30.178      5610        161     17     0                                                  snmp          N/A  AllowAny        4235        3942              1
10.239.30.115      52.111.209.1     64584        443      6     0                                             office365  ESTABLISHED  AllowAny       31630       21163             11
10.239.30.152       10.71.50.53     59770         53     17     0                                                   dns          N/A  AllowAny          80         208              0
10.239.30.24     23.212.108.112     61367         80      6     0                                                  ocsp   SERVER_FIN  AllowAny         791        1140            108
10.239.30.24          10.29.0.5     60480      62831      6     0                                                  krb5      CLOSING  AllowAny        3908        1261             55
10.239.30.24      52.41.185.110     61281        443      6     0                                               mozilla      CLOSING  AllowAny        2565        4898             60
10.239.30.157         10.9.0.10     36584        389     17     0                                                  ldap          N/A  AllowAny         109           0              0
10.20.37.27       10.239.30.155     28296      65352      6     0                                                   tcp  ESTABLISHED  AllowAny        3447        8494              7
10.239.30.23      142.251.36.42     60291        443     17     0                                                   udp          N/A  AllowAny        3336        3622             19
10.239.30.152       10.71.50.53     58692         53     17     0                                                   dns          N/A  AllowAny         123         245              0
10.239.30.154       10.23.54.13     60129       9990      6     0                                            Splunk.com       CLOSED  AllowAny        5653        4026             30
10.71.114.60      10.239.30.180     46907        161     17     0                                                  snmp          N/A  AllowAny        5012        2374             13
10.239.30.152   205.251.197.181     58027         53     17     0                                                   dns          N/A  AllowAny          82         251              0
10.239.30.24      20.190.159.22     61055        443      6     0                                             office365      CLOSING  AllowAny        6166       17679              1
10.239.30.24     18.158.134.131     60878        443      6     0                                                   ssl      CLOSING  AllowAny       42810       25795             65
10.239.30.152       10.71.50.53     60072         53     17     0                                                   dns          N/A  AllowAny         175         378            185
10.239.31.178     66.160.134.61     61967        443      6     0                                                HTTP/2  ESTABLISHED  AllowAny        3732       83663              1
10.239.30.115     20.190.159.69     64529        443      6     0                                             office365       CLOSED  AllowAny        7868       11615              1
10.239.30.157         10.9.0.10     64455        389     17     0                                                  ldap          N/A  AllowAny         109           0              0
10.239.30.17      3.120.221.108     54080        443      6     0                                                amazon  ESTABLISHED  AllowAny       12461        8344            353
10.239.30.25       52.98.214.18     57145        443      6     0                                               outlook  ESTABLISHED  AllowAny      174010      314635            446
10.71.114.60      10.239.30.180     49780        161     17     0                                                  snmp          N/A  AllowAny          84          80              0
10.239.30.16        13.107.4.52     50065         80      6     0                                             Microsoft      CLOSING  AllowAny         384         711              0
10.239.30.24     104.212.67.154     61376        443      6     0                                                HTTP/2      CLOSING  AllowAny        1279        9031              0
10.239.30.152       10.71.50.53     58728         53     17     0                                                   dns          N/A  AllowAny          83         131              0
10.239.30.152       10.71.50.53     58029         53     17     0                                                   dns          N/A  AllowAny         100         185              0
10.239.30.121     35.165.150.40      4298       9930     17     0                                                   udp          N/A  AllowAny         108          82              0
192.168.0.115    108.177.14.188     55810       5228      6     0                                Google Cloud Messaging  ESTABLISHED  AllowAny       26522      114932           5972
10.239.30.152      10.34.230.10     59304         53     17     0                                                   dns          N/A  AllowAny          97           0              0
10.239.30.121     44.224.180.80      4282       9930     17     0                                                   udp          N/A  AllowAny         108          82              0
10.239.30.24     52.113.194.132     61177        443      6     0                                       Microsoft Teams      CLOSING  AllowAny       33171     4659562             44
10.239.30.121     44.232.218.68      4267       9930     17     0                                                   udp          N/A  AllowAny         100          82              0
10.239.30.115     10.71.104.215     63211        443      6     0                                                HTTP/2  ESTABLISHED  AllowAny       10184       13495            899
10.239.30.152    18.158.134.131     53440        443      6     0                                                   ssl  ESTABLISHED  AllowAny       21243      121088            480
10.71.114.60      10.239.30.121      5520        161     17     0                                                  snmp          N/A  AllowAny          74          70              0
10.239.30.177     10.63.100.146     52227        162     17     0                                                  snmp          N/A  AllowAny   448796479           0        1277731
10.239.30.151       10.71.50.53     65515         53     17     0                                                   dns          N/A  AllowAny          68          84              0
10.239.30.16     52.113.195.132     50082        443      6     0                                       Microsoft Teams  ESTABLISHED  AllowAny        8828        7161             45
10.239.30.23       148.139.7.68     56748        443      6     0                                           Service Now       CLOSED  AllowAny        4494        5310             61
