TYPE            OSIP            ODIP  OSPORT  ODPORT  OPROTO           MSIP           MDIP  MSPORT  MDPORT  MPROTO  SEGID  REFCNT
DNAT   10.239.31.249  165.225.206.48   36363      80     TCP  10.239.31.249  165.225.26.40   36363      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   34773      80     TCP    192.168.0.1  165.225.26.40   34773      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   59759      80     TCP    192.168.0.1  165.225.26.40   59759      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   45253      80     TCP  10.239.31.249  165.225.26.40   45253      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   54351      80     TCP    192.168.0.1  165.225.26.40   54351      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   34817      80     TCP  10.239.31.249  165.225.26.40   34817      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   40455      80     TCP    192.168.0.1  165.225.26.40   40455      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   37863      80     TCP  10.239.31.249  165.225.26.40   37863      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   52717      80     TCP    192.168.0.1  165.225.26.40   52717      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   54933      80     TCP    192.168.0.1  165.225.26.40   54933      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   40815      80     TCP    192.168.0.1  165.225.26.40   40815      80     TCP      1       2
