FID        SECURE  SEGID     FDSN  MAX_RECV_FDSN  FDSN_READ  LAST_LATE_FDSN         SRC_IP          DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP  PRIORITY                      APPLICATION                                 APP_CLASS   TRAFFIC-TYPE                                 ROUTE  ROUTE-POL     LINK-POL               BIZ-POL      NH-ID    LINK-ID               FLAGS1  VERSION    SRC            ADDR              SR              DR  FLOW AGE MS  IDLE TIME MS  CBH-FLOW  DROPS
43225241        1      0        0              6          6               0  10.239.30.149     10.71.114.60       161      45920     17     0    normal                    APP_SNMP(190)                  APP_CLASS_MANAGEMENT(11)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A     0x8002802000000L        1   peer  0x7f94a52df4f0  0x7f948e584170  0x7f948e5ce080       229354        210928         0      0
43224965        0      0        0              0          0               0  10.239.30.121     52.32.28.115      4223       9930     17     0    normal                     APP_UDP(216)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-      0x20000a000000L        1  local  0x7f94a42de4a0  0x7f948e584170  0x7f948e5845c0       269658        269489         0      0
43225105        0      0        0              0          0               0  10.239.30.121     52.32.28.115      4228       9930     17     0    normal                     APP_UDP(216)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-      0x20000a000000L        1  local  0x7f94a40ad1f0  0x7f948e584170  0x7f948e5845c0       251643        251473         0      0
43226405        0      1        0              0          0               0   192.168.0.18    17.57.146.175     61837       5223      6     0    normal                   APP_APNS(1118)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        3  local  0x7f9420d8a660  0x7f948e5bc830  0x7f948e584450       121769         80448         0      0
43227381        0      0        0              0          0               0  10.239.31.249    165.225.26.44     51315         80      6     0      high                     APP_HTTP(67)                   APP_CLASS_VELOCLOUD(20)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance  VeloCloud Management        N/A  00000000-  0x800000000a000000L        1  local  0x7f94a4279bc0  0x7f948e585700  0x7f948e5842e0         7712          6650         0      2
43226221        1      0        5              5          5               0  10.239.30.152     10.71.112.84     53626         88      6     0    normal                     APP_KRB5(97)               APP_CLASS_AUTHENTICATION(3)  transactional               Branch to Branch Direct    gateway  loadbalance        Authentication  68745f57-        N/A    0x48802800000000L        1  local  0x7f94a4272600  0x7f948e584170  0x7f948e5ce080       139100        138985         0      0
43226191        1      0        1              1          1               0  10.239.30.152      10.71.50.53     59590         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f94a42eb6f0  0x7f948e584170  0x7f948e5ce080       140952        140907         0      0
43225979        0      0        0              0          0               0  10.239.31.178   52.114.133.163     61945        443      6     0    normal               APP_MS_TEAMS(3374)  APP_CLASS_INTERNET_INSTANT_MESSAGING(10)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        1  local  0x7f94a42ecc70  0x7f948e584170  0x7f948e5845c0       155967         29198         0      0
FID        SECURE  SEGID     FDSN  MAX_RECV_FDSN  FDSN_READ  LAST_LATE_FDSN         SRC_IP          DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP  PRIORITY                      APPLICATION                                 APP_CLASS   TRAFFIC-TYPE                                 ROUTE  ROUTE-POL     LINK-POL               BIZ-POL      NH-ID    LINK-ID               FLAGS1  VERSION    SRC            ADDR              SR              DR  FLOW AGE MS  IDLE TIME MS  CBH-FLOW  DROPS
43226230        0      1        0              0          0               0  192.168.0.115          8.8.4.4      5553         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f9433720800  0x7f948e5bc830  0x7f948e584730       138664        138656         0      0
43226351        0      1        0              0          0               0   192.168.0.18          8.8.4.4     54794         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f94a414fd00  0x7f948e5bc830  0x7f948e584730       126724        126691         0      0
43226014        0      0        0              0          0               0   10.239.30.24      2.18.99.253     61231        443      6     0    normal              APP_OFFICE365(1448)       APP_CLASS_BUSINESS_COLLABORATION(5)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        2  local  0x7f94194e1230  0x7f948e584170  0x7f948e5842e0       151826         41819         0      0
43225665        0      0        0              0          0               0   10.239.30.24    52.114.76.239     61075        443      6     0    normal                   APP_SKYPE(183)       APP_CLASS_BUSINESS_COLLABORATION(5)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4000000a000000L        1  local  0x7f9420d712a0  0x7f948e584170  0x7f948e5842e0       183464         23018         0      0
43160543        1      0      376            419        419               0  10.239.30.155      10.20.49.73     65352      63115      6     0    normal                     APP_TCP(205)               APP_CLASS_OTHER_TCP_UDP(21)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A    0x48002800000000L        1   peer  0x7f941c3d8c00  0x7f948e584170  0x7f948e5ce7b0      9189404        778763         0      0
43226303        1      0        7              8          8               0  10.239.30.152     10.71.100.12       389      58753      6     0    normal                    APP_LDAP(100)               APP_CLASS_AUTHENTICATION(3)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A    0x48a02800000000L        1   peer  0x7f940d667720  0x7f948e584170  0x7f948e5ce080       129658        129540         0      0
43226989        1      0        1              1          1               0  10.239.30.152      10.71.50.53     59282         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f94a411ada0  0x7f948e584170  0x7f948e5ce080        55745         55708         0      0
43225505        0      0        1              1          1               0  10.239.31.249         5.1.73.2       123        123     17    46      high         APP_VELOCLOUD_MGMT(4095)                   APP_CLASS_VELOCLOUD(20)  transactional                     Cloud via Gateway    gateway  loadbalance  VeloCloud Management  157f9142-        N/A                 0x0L        1  local  0x7f94a466e200  0x7f948e585700  0x7f948e5842e0       204671        204646         0      0
43224990        1      0        1              1          1               0  10.239.30.158    10.230.134.17     52690         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f9416e23770  0x7f948e584170  0x7f948e5ca590       267050        267013         0      0
43224101        1      0        2              2          2               0  10.239.30.152      10.71.50.53     59119         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f9416e1aa10  0x7f948e584170  0x7f948e5ce080       365169        302533         0      0
43227154        1      0        5              5          5               0  10.239.30.152     10.71.112.84     53675         88      6     0    normal                     APP_KRB5(97)               APP_CLASS_AUTHENTICATION(3)  transactional               Branch to Branch Direct    gateway  loadbalance        Authentication  68745f57-        N/A    0x48802800000000L        1  local  0x7f943370f970  0x7f948e584170  0x7f948e5ce080        42436         42322         0      0
43226985        1      0        1              1          1               0  10.239.30.152      10.71.50.53     59166         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f9438039700  0x7f948e584170  0x7f948e5ce080        55953         55916         0      0
43224525        0      0        0              0          0               0  10.239.30.121     100.21.10.50      4206       9930     17     0    normal                     APP_UDP(216)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-      0x20000a000000L        1  local  0x7f940d69c4a0  0x7f948e584170  0x7f948e5845c0       320019        319845         0      0
43226438        0      1        0              0          0               0   192.168.0.18          8.8.4.4     62618         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f940d681ba0  0x7f948e5bc830  0x7f948e584730       120350        120342         0      0
43227333        1      0        1              1          1               0  10.239.30.178     10.71.114.60       161      20364     17     0    normal                    APP_SNMP(190)                  APP_CLASS_MANAGEMENT(11)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A     0x8002800000000L        1   peer  0x7f9420c52ba0  0x7f948e584170  0x7f948e5ce080        13166         13165         0      0
43225946        1      0       93             93         93               0  10.239.30.180     10.71.114.60       161      43822     17     0    normal                    APP_SNMP(190)                  APP_CLASS_MANAGEMENT(11)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A     0x8002800000000L        1   peer  0x7f94a418e9d0  0x7f948e584170  0x7f948e5ce080       158380        154649         0      0
