"name","u_node_id","ip_address","hardware_status","operational_status"
"0027043DDFAD","SEHAL-HOSP-ANIRA (00:27:04:3D:DF:AD)","10.129.36.1","Installed","Operational"
"0027043DDFF3","SEHOS-HOSP-ANIRA (00:27:04:3D:DF:F3)","10.241.50.1","Installed","Operational"
"0027043DE15B","NLBLA-EMEA-ANIRA (00:27:04:3D:E1:5B)","10.70.115.1","Installed","Operational"
"0027043DE165","NLTER-AAES-ANIRA (00:27:04:3D:E1:65)","10.70.47.3","Installed","Operational"
"0027043DE18D","NLHEE-AAES-ANIRA (00:27:04:3D:E1:8D)","10.152.2.7","Installed","Operational"
"0027043DE197","NOMJO-AAES-ANIRA (00:27:04:3D:E1:97)","10.132.11.1","Installed","Operational"
"0027043DE1A1","FRLIE-AAES-ANIRA (00:27:04:3D:E1:A1)","10.16.184.3","Installed","Operational"
"0027043DE1B5","FRDUS-AAES-ANIRA (00:27:04:3D:E1:B5)","10.16.180.3","Installed","Operational"
"0027043DE1D3","SEVAS-AAES-ANIRA (00:27:04:3D:E1:D3)","10.70.66.3","Installed","Operational"
"0027043DE1DD","SEUME-AAES-ANIRA (00:27:04:3D:E1:DD)","10.70.157.1","Installed","Operational"
"0027043DE1E7","CHBUR-AAES-ANIRA (00:27:04:3D:E1:E7)","10.34.65.1","Installed","Operational"
"0027043DE1F1","SEJAR-AAES-ANIRA (00:27:04:3D:E1:F1)","10.249.112.3","Installed","Operational"
"0027043DE205","CHMON-AAES-ANIRA (00:27:04:3D:E2:05)","10.70.158.1","Installed","Operational"
"0027043DE20F","ESSEE-AAES-ANIRA (00:27:04:3D:E2:0F)","10.249.216.1","Installed","Operational"
"0027043DE24B","HUDEB-AAES-ANIRA (00:27:04:3D:E2:4B)","10.16.248.12","Installed","Operational"
"0027043DE273","CZPRE-AAES-ANIRA (00:27:04:3D:E2:73)","10.249.144.1","Installed","Operational"
"0027043DE27D","CZOST-AAES-ANIRA (00:27:04:3D:E2:7D)","10.251.196.8","Installed","Operational"
"0027043DE287","DKRIN-AAES-ANIRA (00:27:04:3D:E2:87)","10.129.120.3","Installed","Operational"
"0027043DE291","DKODE-AAES-ANIRA (00:27:04:3D:E2:91)","10.129.216.3","Installed","Operational"
"0027043DE2AF","PLKRA-AAAB-ANIRA (00:27:04:3D:E2:AF)","10.236.15.4","Installed","Operational"
"0027043DE2B9","BEMOO-AAES-ANIRA (00:27:04:3D:E2:B9)","10.129.212.3","Installed","Operational"
"0027043DE2D7","NOSDS-AAES-ANIRA (00:27:04:3D:E2:D7)","10.70.124.1","Installed","Operational"
"0027043DE2EB","FRSUR-HOSP-ANIRA (00:27:04:3D:E2:EB)","10.241.8.1","Installed","Operational"
"0027043DE2F5","ITCAR-AAES-ANIRA (00:27:04:3D:E2:F5)","10.253.212.102","Installed","Operational"
"0027043DE2FF","ITMIL-AAES-ANIRA (00:27:04:3D:E2:FF)","10.132.3.3","Installed","Operational"
"0027043DE309","ITBRU-AAES-ANIRA (00:27:04:3D:E3:09)","10.132.2.102","Installed","Operational"
"0027043DE313","ITBRE-AAES-ANIRA (00:27:04:3D:E3:13)","10.34.56.1","Installed","Operational"
"0027043DE31D","CZPIL-AAES-ANIRA (00:27:04:3D:E3:1D)","10.129.40.3","Installed","Operational"
"0027043DE327","CZKOS-AAES-ANIRA (00:27:04:3D:E3:27)","10.16.188.3","Installed","Operational"
"0027043DE33B","ITQUA-AAES-ANIRA (00:27:04:3D:E3:3B)","10.129.56.100","Installed","Operational"
"0027043DE345","DEHAM-AAES-ANIRA (00:27:04:3D:E3:45)","10.34.161.1","Installed","Operational"
"0027043DE38B","AUBRJ-AAES-ANIRA (00:27:04:3D:E3:8B)","10.34.11.3","Installed","Operational"
"0027043DE39F","FRSAI-AAES-ANIRA (00:27:04:3D:E3:9F)","10.34.13.1","Installed","Operational"
"0027043DE421","ATWIE-AAES-ANIRA (00:27:04:3D:E4:21)","10.70.210.3","Installed","Operational"
"0027043DE435","SISEN-EMEA-ANIRA (00:27:04:3D:E4:35)","10.249.16.1","Installed","Operational"
"0027043DE471","BELID-AAES-ANIRA (00:27:04:3D:E4:71)","10.34.120.1","Installed","Operational"
"0027043DE6C9","FIJOE-EMEA-ANIRA (00:27:04:3D:E6:C9)","10.251.96.12","Installed","Operational"
"0027043E8DCB","USGRA-AAES-ANIRA (00:27:04:3E:8D:CB)","10.17.72.248","Installed","Operational"
