"name","location.u_site_id","u_node_id"
"0027043DDD0F","PTLEC","PTLEC-EMEA-ANIRA (00:27:04:3D:DD:0F)"
"0027043DDD19","PLGLO","PLGLO-AAES-ANIRA (00:27:04:3D:DD:19)"
"0027043DDD23","PLZIL","PLZIL-AAES-ANIRA (00:27:04:3D:DD:23)"
"0027043DDD2D","PLMIK","PLMIK-EMEA-ANIRA (00:27:04:3D:DD:2D)"
"0027043DDD41","ROHUN","ROHUN-AAES-ANIRA (00:27:04:3D:DD:41)"
"0027043DDD4B","PLWAE","PLWAE-AAES-ANIRA (00:27:04:3D:DD:4B)"
"0027043DDD55","NLBER","NLBER-HOSP-ANIRA (00:27:04:3D:DD:55)"
"0027043DDD5F","ROBUC","ROBUC-HOSP-ANIRA (00:27:04:3D:DD:5F)"
"0027043DDD69","PLKAT","PLKAT-AAES-ANIRA (00:27:04:3D:DD:69)"
"0027043DDDD7","HUBUG","HUBUG-AAES-ANIRA (00:27:04:3D:DD:D7)"
"0027043DDDF5","NLEDE","NLEDE-AAES-ANIRA (00:27:04:3D:DD:F5)"
"0027043DDDFF","NLBAR","NLBAR-AAES-ANIRA (00:27:04:3D:DD:FF)"
"0027043DDE8B","PTCHA","PTCHA-AAES-ANIRA (00:27:04:3D:DE:8B)"
"0027043DDE9F","IESHA","IESHA-HID-ANIRA (00:27:04:3D:DE:9F)"
"0027043DDEEF","DKHOB","DKHOB-AAES-ANIRA (00:27:04:3D:DE:EF)"
"0027043DDEF9","DEERK","DEERK-AAES-ANIRA (00:27:04:3D:DE:F9)"
"0027043DDF67","DEWEN","DEWEN-AAES-ANIRA (00:27:04:3D:DF:67)"
"0027043DDF71","ESMAD","ESMAD-AAES-ANIRA (00:27:04:3D:DF:71)"
"0027043DDF7B","DEOBE","DEOBE-AAES-ANIRA (00:27:04:3D:DF:7B)"
"0027043DDF85","ESBAS","ESBAS-AAES-ANIRA (00:27:04:3D:DF:85)"
"0027043DDF8F","SESKE","SESKE-AAES-ANIRA (00:27:04:3D:DF:8F)"
"0027043DDF99","SELID","SELID-AAES-ANIRA (00:27:04:3D:DF:99)"
"0027043DDFA3","ESMAT","ESMAT-AAES-ANIRA (00:27:04:3D:DF:A3)"
"0027043DDFAD","SEHAL","SEHAL-HOSP-ANIRA (00:27:04:3D:DF:AD)"
"0027043DDFF3","SEHOS","SEHOS-HOSP-ANIRA (00:27:04:3D:DF:F3)"
"0027043DE15B","NLBLA","NLBLA-EMEA-ANIRA (00:27:04:3D:E1:5B)"
"0027043DE165","NLTER","NLTER-AAES-ANIRA (00:27:04:3D:E1:65)"
"0027043DE18D","NLHEE","NLHEE-AAES-ANIRA (00:27:04:3D:E1:8D)"
"0027043DE197","NOMJO","NOMJO-AAES-ANIRA (00:27:04:3D:E1:97)"
"0027043DE1A1","FRLIE","FRLIE-AAES-ANIRA (00:27:04:3D:E1:A1)"
"0027043DE1B5","FRDUS","FRDUS-AAES-ANIRA (00:27:04:3D:E1:B5)"
"0027043DE1D3","SEVAS","SEVAS-AAES-ANIRA (00:27:04:3D:E1:D3)"
"0027043DE1DD","SEUME","SEUME-AAES-ANIRA (00:27:04:3D:E1:DD)"
"0027043DE1E7","CHBUR","CHBUR-AAES-ANIRA (00:27:04:3D:E1:E7)"
"0027043DE1F1","SEJAR","SEJAR-AAES-ANIRA (00:27:04:3D:E1:F1)"
"0027043DE205","CHMON","CHMON-AAES-ANIRA (00:27:04:3D:E2:05)"
"0027043DE20F","ESSEE","ESSEE-AAES-ANIRA (00:27:04:3D:E2:0F)"
"0027043DE24B","HUDEB","HUDEB-AAES-ANIRA (00:27:04:3D:E2:4B)"
"0027043DE273","CZPRE","CZPRE-AAES-ANIRA (00:27:04:3D:E2:73)"
"0027043DE27D","CZOST","CZOST-AAES-ANIRA (00:27:04:3D:E2:7D)"
"0027043DE287","DKRIN","DKRIN-AAES-ANIRA (00:27:04:3D:E2:87)"
"0027043DE291","DKODE","DKODE-AAES-ANIRA (00:27:04:3D:E2:91)"
"0027043DE2AF","PLKRA","PLKRA-AAAB-ANIRA (00:27:04:3D:E2:AF)"
"0027043DE2B9","BEMOO","BEMOO-AAES-ANIRA (00:27:04:3D:E2:B9)"
"0027043DE2D7","NOSDS","NOSDS-AAES-ANIRA (00:27:04:3D:E2:D7)"
"0027043DE2EB","FRSUR","FRSUR-HOSP-ANIRA (00:27:04:3D:E2:EB)"
"0027043DE2F5","ITCAR","ITCAR-AAES-ANIRA (00:27:04:3D:E2:F5)"
"0027043DE2FF","ITMIL","ITMIL-AAES-ANIRA (00:27:04:3D:E2:FF)"
"0027043DE309","ITBRU","ITBRU-AAES-ANIRA (00:27:04:3D:E3:09)"
"0027043DE313","ITBRE","ITBRE-AAES-ANIRA (00:27:04:3D:E3:13)"
"0027043DE31D","CZPIL","CZPIL-AAES-ANIRA (00:27:04:3D:E3:1D)"
"0027043DE327","CZKOS","CZKOS-AAES-ANIRA (00:27:04:3D:E3:27)"
